user_id;birth_date;gender;loyalty_tier
USR-1000;2003-03-28;M;Bronze
USR-1001;2012-09-03;M;Silver
USR-1002;2011-09-14;M;Gold
USR-1003;2010-11-28;M;Silver
USR-1004;2009-02-06;F;Silver
USR-1005;2005-10-04;M;Bronze
USR-1006;2009-08-03;M;Bronze
USR-1007;2002-08-09;M;Gold
USR-1008;2004-01-07;M;Gold
USR-1009;2005-09-02;M;Bronze
USR-1010;2005-06-19;M;Bronze
USR-1011;1995-07-21;F;Bronze
USR-1012;1996-06-15;M;Bronze
USR-1013;2005-02-19;M;Bronze
USR-1014;2011-02-15;F;Bronze
USR-1015;2009-12-12;M;Bronze
USR-1016;2007-06-06;F;Silver
USR-1017;2005-09-15;M;Silver
USR-1018;1994-04-22;M;Gold
USR-1019;2010-01-01;M;Gold
USR-1020;2005-05-12;M;Gold
USR-1021;2004-08-24;M;Bronze
USR-1022;2005-09-20;M;Bronze
USR-1023;2006-08-23;F;Bronze
USR-1024;2011-09-26;M;Gold
USR-1025;2007-04-17;M;Gold
USR-1026;2005-07-11;F;Silver
USR-1027;2005-09-12;M;Bronze
USR-1028;2011-08-23;M;Bronze
USR-1029;2010-04-19;M;Bronze
USR-1030;1995-05-06;F;Gold
USR-1031;1996-12-17;M;Gold
USR-1032;1995-04-27;M;Bronze
USR-1033;1995-03-16;M;Silver
USR-1034;2000-09-23;M;Bronze
USR-1035;2004-09-20;M;Silver
USR-1036;2005-03-17;M;Bronze
USR-1037;2004-04-10;M;Bronze
USR-1038;2002-11-24;F;Silver
USR-1039;2005-01-22;F;Bronze
USR-1040;2005-11-10;M;Gold
USR-1041;1994-10-08;M;Gold
USR-1042;2007-12-26;F;Gold
USR-1043;2010-05-21;M;Platinum
USR-1044;1995-11-02;M;Silver
USR-1045;2008-07-07;F;Silver
USR-1046;2005-10-04;M;Silver
USR-1047;2004-01-08;F;Silver
USR-1048;2007-06-27;M;Bronze
USR-1049;1993-04-10;M;Gold
USR-1050;2011-09-10;M;Bronze
USR-1051;2008-04-19;M;Bronze
USR-1052;2005-08-17;M;Bronze
USR-1053;2005-03-14;M;Silver
USR-1054;2006-09-04;M;Bronze
USR-1055;2009-07-23;M;Silver
USR-1056;2010-09-12;F;Bronze
USR-1057;2005-12-26;M;Platinum
USR-1058;2012-06-12;M;Gold
USR-1059;2004-07-12;M;Gold
USR-1060;2004-01-06;F;Silver
USR-1061;1994-05-25;M;Gold
USR-1062;2010-07-07;M;Bronze
USR-1063;2011-10-26;M;Bronze
USR-1064;2004-12-18;M;Bronze
USR-1065;2006-08-03;F;Silver
USR-1066;2007-08-22;F;Bronze
USR-1067;2005-06-22;M;Gold
USR-1068;1993-06-07;M;Gold
USR-1069;2005-11-21;M;Silver
USR-1070;1996-08-25;M;Silver
